obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
643	2025-11-06	AKTION (AIRPORT)	9	12.45	2025-11-06	9	12.7068
643	2025-11-07	AKTION (AIRPORT)	9	13.95	2025-11-07	9	13.6965
643	2025-11-08	AKTION (AIRPORT)	9	16.15	2025-11-08	9	16.2922
643	2025-11-09	AKTION (AIRPORT)	9	15.95	2025-11-09	9	16.6232
643	2025-11-10	AKTION (AIRPORT)	9	14.45	2025-11-10	9	15.9467
643	2025-11-11	AKTION (AIRPORT)	9	13.75	2025-11-11	9	13.7201
643	2025-11-12	AKTION (AIRPORT)	9	10.45	2025-11-12	9	12.1176
643	2025-11-13	AKTION (AIRPORT)	9	10.95	2025-11-13	9	12.6289
643	2025-11-14	AKTION (AIRPORT)	9	12.75	2025-11-14	9	13.1382
643	2025-11-15	AKTION (AIRPORT)	9	13.65	2025-11-15	9	14.012
643	2025-11-16	AKTION (AIRPORT)	9	12.95	2025-11-16	9	12.3498
643	2025-11-17	AKTION (AIRPORT)	9	14.65	2025-11-17	9	15.1122
643	2025-11-18	AKTION (AIRPORT)	9	15.95	2025-11-18	9	16.2795
643	2025-11-19	AKTION (AIRPORT)	9	15.95	2025-11-19	9	16.4038
643	2025-11-20	AKTION (AIRPORT)	9	14.25	2025-11-20	9	16.2957
643	2025-11-21	AKTION (AIRPORT)	9	17.65	2025-11-21	9	17.1016
643	2025-11-22	AKTION (AIRPORT)	9	14.65	2025-11-22	9	14.4267
643	2025-11-23	AKTION (AIRPORT)	9	9.25	2025-11-23	9	10.7349
643	2025-11-24	AKTION (AIRPORT)	9	8.45	2025-11-24	9	8.6424
643	2025-11-25	AKTION (AIRPORT)	9	13.45	2025-11-25	9	13.5728
643	2025-11-26	AKTION (AIRPORT)	9	14.45	2025-11-26	9	13.9676
643	2025-11-27	AKTION (AIRPORT)	9	12.25	2025-11-27	9	13.9505
643	2025-11-28	AKTION (AIRPORT)	9	9.95	2025-11-28	9	10.6623
643	2025-11-29	AKTION (AIRPORT)	9	10.75	2025-11-29	9	9.79208
643	2025-11-30	AKTION (AIRPORT)	9	10.25	2025-11-30	9	10.7585
648	2025-11-01	LARISSA (AIRPORT)	9	13.65	2025-11-01	9	13.7463
648	2025-11-02	LARISSA (AIRPORT)	9	13.25	2025-11-02	9	12.6982
